session,wfz,b2_key,local_bytes,b2_bytes,present,size_matches,error
test/2026-02-17/1,Y:\Subjects\test\2026-02-17\1\widefield.wfz,subjects/test/2026-02-17/1/widefield.wfz,505364720,505364720,True,True,
AL_0033/2025-03-17/1,Y:\Subjects\AL_0033\2025-03-17\1\widefield.wfz,subjects/AL_0033/2025-03-17/1/widefield.wfz,682336506,682336506,True,True,
ZYE_0035/2021-07-17/1,Y:\Subjects\ZYE_0035\2021-07-17\1\widefield.wfz,subjects/ZYE_0035/2021-07-17/1/widefield.wfz,721753613,721753613,True,True,
AL_0048/2026-06-11/4,Y:\Subjects\AL_0048\2026-06-11\4\widefield.wfz,subjects/AL_0048/2026-06-11/4/widefield.wfz,1276669694,1276669694,True,True,
Subjects/test/2025-11-04,Y:\Subjects\test\2025-11-04\1.wfz,subjects/test/2025-11-04/1.wfz,1441369072,1441369072,True,True,
default/2025-03-05/3,Y:\Subjects\default\2025-03-05\3\widefield.wfz,subjects/default/2025-03-05/3/widefield.wfz,1860513193,1860513193,True,True,
test/2025-11-05/1,Y:\Subjects\test\2025-11-05\1\1.wfz,subjects/test/2025-11-05/1/1.wfz,4193621602,4193621602,True,True,
AL_0033/2025-02-24/3,Y:\Subjects\AL_0033\2025-02-24\3\3.wfz,subjects/AL_0033/2025-02-24/3/3.wfz,6001539791,6001539791,True,True,
ZYE_0008/2020-07-25/1,Y:\Subjects\ZYE_0008\2020-07-25\1\widefield.wfz,subjects/ZYE_0008/2020-07-25/1/widefield.wfz,8870590325,8870590325,True,True,
SM_0001/2020-09-03/1,Y:\Subjects\SM_0001\2020-09-03\1\widefield.wfz,subjects/SM_0001/2020-09-03/1/widefield.wfz,12918583663,12918583663,True,True,
AL_0023/2023-05-15/5,Y:\Subjects\AL_0023\2023-05-15\5\widefield.wfz,subjects/AL_0023/2023-05-15/5/widefield.wfz,13216733344,13216733344,True,True,
ZYE_0007/2020-07-29/1,Y:\Subjects\ZYE_0007\2020-07-29\1\widefield.wfz,subjects/ZYE_0007/2020-07-29/1/widefield.wfz,14704817866,14704817866,True,True,
ZYE_0046/2021-11-27/2,Y:\Subjects\ZYE_0046\2021-11-27\2\widefield.wfz,subjects/ZYE_0046/2021-11-27/2/widefield.wfz,192366063076,192366063076,True,True,
AL_0033/2025-01-17/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2025-01-17\1\widefield.wfz,subjects/AL_0033/2025-01-17/1/widefield.wfz,122923655024,122923655024,True,True,
ZYE_0069/2023-11-20/1,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0069\2023-11-20\1\widefield.wfz,subjects/ZYE_0069/2023-11-20/1/widefield.wfz,130299116292,130299116292,True,True,
AL_0033/2025-06-08/2,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2025-06-08\2\widefield.wfz,subjects/AL_0033/2025-06-08/2/widefield.wfz,121988449690,121988449690,True,True,
AL_0033/2025-06-06/3,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2025-06-06\3\widefield.wfz,subjects/AL_0033/2025-06-06/3/widefield.wfz,127552796550,127552796550,True,True,
AL_0039/2025-04-26/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0039\2025-04-26\1\widefield.wfz,subjects/AL_0039/2025-04-26/1/widefield.wfz,131702309610,131702309610,True,True,
AL_0033/2025-04-28/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2025-04-28\1\widefield.wfz,subjects/AL_0033/2025-04-28/1/widefield.wfz,129788354030,129788354030,True,True,
ZYE_0046/2021-11-29/1,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0046\2021-11-29\1\widefield.wfz,subjects/ZYE_0046/2021-11-29/1/widefield.wfz,155571900071,155571900071,True,True,
