path,kind,bytes,shape,dtype,maxval,low_zero,high_zero,payload,ormask
Y:\Subjects\ZYE_0054\2021-12-17\2\widefield.tar,basler-tiff,30417071616,"(560, 560)",uint16,65520,4,0,12,1111111111110000
Z:\Subjects_archive1\AD_0011\2020-02-19\2\widefield.tar,basler-tiff,186337376256,"(609, 616)",uint16,60432,4,0,12,1111111111110000
Z:\Subjects_OLD\ZYE_0069\2023-07-14\6\widefield.tar,basler-tiff,52787049984,"(560, 560)",uint16,65520,4,0,12,1111111111110000
Y:\Subjects\AL_0039\2025-06-10\5\widefield.tar,basler-tiff,54969054720,"(560, 560)",uint16,26816,4,1,11,0111111111110000
Y:\Subjects\AB_0032\2024-03-13\1\widefield.tar,basler-tiff,192130960896,"(560, 560)",uint16,49920,4,0,12,1111111111110000
Y:\Subjects\AL_0033\2025-06-10\3\widefield.tar,basler-tiff,57801610752,"(560, 560)",uint16,26736,4,1,11,0111111111110000
Y:\Subjects\ZYE_0055\2022-01-07\2\widefield.tar,basler-tiff,28238863872,"(560, 560)",uint16,65520,4,0,12,1111111111110000
Z:\Subjects_OLD\ZYE_0066\2022-10-25\6\widefield.tar,basler-tiff,138695259648,"(560, 560)",uint16,65520,4,0,12,1111111111110000
Y:\Subjects\ZYE_0090\2024-07-16\3\widefield.tar,basler-tiff,60294968832,"(560, 560)",uint16,28048,4,1,11,0111111111110000
Y:\Subjects\ZYE_0090\2025-06-07\2\widefield.tar,basler-tiff,121045575168,"(560, 560)",uint16,25744,4,1,11,0111111111110000
Z:\Subjects_OLD\AL_0023\2023-08-24\1\widefield.tar,basler-tiff,160874755584,"(560, 560)",uint16,65520,4,0,12,1111111111110000
Y:\Subjects\AL_0048\2026-06-11\6\widefield.tar,frame-N,18659368448,"(560, 560)",uint16,1868,0,5,11,0000011111111111
Y:\Subjects\ZYE_0096\2025-07-12\2\widefield.tar,basler-tiff,125458312704,"(560, 560)",uint16,9120,4,2,10,0011111111110000
Y:\Subjects\AL_0033\2025-01-14\7\widefield.tar,basler-tiff,93119331840,"(560, 560)",uint16,48832,4,0,12,1111111111110000
Y:\Subjects\FD_011\2026-03-02\2\widefield.tar,basler-tiff,220096571392,"(560, 560)",uint16,15104,4,2,10,0011111111110000
Y:\Subjects\ZYE_0076\2024-05-30\5\widefield.tar,basler-tiff,32979408384,"(560, 560)",uint16,63632,4,0,12,1111111111110000
Y:\Subjects\AL_0046\2026-02-18\1\widefield.tar,basler-tiff,76032867840,"(560, 560)",uint16,56336,4,0,12,1111111111110000
Y:\Subjects\ZYE_0046\2021-11-30\6\widefield.tar,basler-tiff,124664741376,"(560, 560)",uint16,64480,4,0,12,1111111111110000
Z:\Subjects_archive1\test\2020-09-06\1\widefield.tar,basler-tiff,11429376,"(532, 532)",uint16,65520,4,0,12,1111111111110000
Z:\Subjects_OLD\ZYE_0067\2022-10-26\3\widefield.tar,basler-tiff,194292082176,"(560, 560)",uint16,65520,4,0,12,1111111111110000
Z:\Subjects_OLD\ZYE_0069\2023-08-24\4\widefield.tar,basler-tiff,244725628416,"(560, 560)",uint16,65072,4,0,12,1111111111110000
Y:\Subjects\ZYE_0012\2020-10-14\1\widefield.tar,basler-tiff,30081493504,"(512, 512)",uint16,65520,4,0,12,1111111111110000
Z:\Subjects_OLD\ZYE_0031\2021-03-20\1\widefield.tar,basler-tiff,33436352000,"(512, 512)",uint16,65520,4,0,12,1111111111110000
Y:\Subjects\ZYE_0009\2020-09-02\1\widefield.tar,basler-tiff,155688067584,"(540, 540)",uint16,50480,4,0,12,1111111111110000
