server,path,bytes,kind,member_bytes,est_frames,rows,cols,shift,payload_bits,maxval,has_svd,first_member,error
Y,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0057\2022-01-10\1\widefield.tar,66537856512,basler-tiff,631826,105143,560,560,4,12,65520,True,1/Basler_acA2440-75um__23040354__20220110_163210783_0001.tiff,
Y,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0057\2022-01-28\1\widefield.tar,238267123200,basler-tiff,724946,328416,600,600,4,12,65520,True,1/Basler_acA2440-75um__23040354__20220128_164300670_0001.tiff,
Y,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0057\2022-01-29\1\widefield.tar,192777296896,basler-tiff,724946,265715,600,600,4,12,65520,True,1/Basler_acA2440-75um__23040354__20220129_173005844_0001.tiff,
Y,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0057\2022-01-30\1\widefield.tar,201648759808,basler-tiff,724946,277943,600,600,4,12,65520,True,1/Basler_acA2440-75um__23040354__20220130_191313879_0001.tiff,
Y,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0012\2020-10-14\1\widefield.tar,30081493504,basler-tiff,528530,56821,512,512,4,12,65520,True,1/Basler_acA2440-75um__23040354__20201014_153538460_0001.tiff,
Y,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0012\2020-10-16\1\widefield.tar,72661249536,basler-tiff,528530,137250,512,512,4,12,65520,True,1/Basler_acA2440-75um__23040354__20201016_123719744_0001.tiff,
Y,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0012\2020-10-16\5\widefield.tar,89568952832,basler-tiff,528530,169187,512,512,4,12,59200,True,5/Basler_acA2440-75um__23040354__20201016_131721171_0001.tiff,
Y,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0012\2020-12-03\1\widefield.tar,280892239360,basler-tiff,528530,530578,512,512,4,12,50448,True,1/Basler_acA2440-75um__23040354__20201203_164930235_0001.tiff,
Y,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0012\2020-12-17\1\widefield.tar,105345840640,basler-tiff,528530,198988,512,512,4,12,61152,True,1/Basler_acA2440-75um__23040354__20201217_172237329_0001.tiff,
Y,\\sahale.biostr.washington.edu\data\Subjects\AB_0004\2021-03-24\1\widefield.tar,24430592512,basler-tiff,528530,46147,512,512,4,12,65520,True,1/Basler_acA2440-75um__23040354__20210324_125922581_0001.tiff,
Y,\\sahale.biostr.washington.edu\data\Subjects\AB_0004\2021-03-29\2\widefield.tar,66685821440,basler-tiff,528530,125963,512,512,4,12,59408,True,2/Basler_acA2440-75um__23040354__20210329_143216146_0001.tiff,
Y,\\sahale.biostr.washington.edu\data\Subjects\AB_0004\2021-03-30\1\widefield.tar,182436115968,basler-tiff,528530,344604,512,512,4,12,65520,True,1/Basler_acA2440-75um__23040354__20210330_153021280_0001.tiff,
Y,\\sahale.biostr.washington.edu\data\Subjects\AL_0034\2024-07-25\1\widefield.tar,185006538240,basler-tiff,631826,292347,560,560,4,12,63040,True,1/Basler_acA2440-75um__23040354__20240725_093347585_0001.tiff,
Y,\\sahale.biostr.washington.edu\data\Subjects\AL_0034\2024-07-29\1\widefield.tar,95219701248,basler-tiff,631826,150466,560,560,4,12,65520,True,1/Basler_acA2440-75um__23040354__20240729_111611084_0001.tiff,
Y,\\sahale.biostr.washington.edu\data\Subjects\AL_0034\2024-08-12\1\widefield.tar,151596172800,basler-tiff,631826,239552,560,560,4,12,48816,True,1/Basler_acA2440-75um__23040354__20240812_144231309_0001.tiff,
Y,\\sahale.biostr.washington.edu\data\Subjects\AL_0034\2024-08-12\5\widefield.tar,1024,,0,0,0,0,-1,0,0,False,,
Y,\\sahale.biostr.washington.edu\data\Subjects\AL_0034\2024-08-13\1\widefield.tar,200368535040,basler-tiff,631826,316622,560,560,4,12,62176,True,1/Basler_acA2440-75um__23040354__20240813_093021265_0001.tiff,
Y,\\sahale.biostr.washington.edu\data\Subjects\AL_0034\2024-08-19\1\widefield.tar,137334038016,basler-tiff,631826,217015,560,560,4,12,55456,True,1/Basler_acA2440-75um__23040354__20240819_111305562_0001.tiff,
Y,\\sahale.biostr.washington.edu\data\Subjects\AL_0034\2024-08-20\1\widefield.tar,175636827648,basler-tiff,631826,277541,560,560,4,12,65520,True,1/Basler_acA2440-75um__23040354__20240820_094443484_0001.tiff,
Y,\\sahale.biostr.washington.edu\data\Subjects\AL_0034\2024-08-26\1\widefield.tar,109105300992,basler-tiff,631826,172408,560,560,4,12,59680,True,1/Basler_acA2440-75um__23040354__20240826_111243609_0001.tiff,
Y,\\sahale.biostr.washington.edu\data\Subjects\AL_0034\2024-08-27\1\widefield.tar,197432194560,basler-tiff,631826,311982,560,560,4,12,65040,True,1/Basler_acA2440-75um__23040354__20240827_132926747_0001.tiff,
