session,verdict,C1,C2,C3,C4,C5,C7,tar_bytes_now,wfz_bytes_now,b2_wfz_bytes,notes
AB_0003/2021-04-19/1,PASS,pass,pass,pass,pass,pass,pass,134969924096,65149088729,65149088729,
AB_0004/2021-03-30/1,PASS,pass,pass,pass,pass,pass,pass,182436115968,85185484475,85185484475,
AB_0005/2021-03-30/1,PASS,pass,pass,pass,pass,pass,pass,172251364864,77263434270,77263434270,
AB_0026/2024-03-12/1,PASS,pass,pass,pass,pass,pass,pass,129452748288,56659468530,56659468530,
AB_0026/2024-03-13/1,PASS,pass,pass,pass,pass,pass,pass,192130960896,83683699319,83683699319,
AB_0032/2024-03-12/1,PASS,pass,pass,pass,pass,pass,pass,129452748288,56659468529,56659468529,
AB_0032/2024-03-13/1,PASS,pass,pass,pass,pass,pass,pass,192130960896,83683699319,83683699319,
AB_0032/2024-03-14/1,PASS,pass,pass,pass,pass,pass,pass,185266632192,80405867355,80405867355,
AB_0032/2024-04-15/1,PASS,pass,pass,pass,pass,pass,pass,183547860480,72994129787,72994129787,
AB_0032/2024-04-16/1,PASS,pass,pass,pass,pass,pass,pass,344282758656,145981130097,145981130097,
AB_0032/2024-04-25/1,PASS,pass,pass,pass,pass,pass,pass,184153480704,77410504675,77410504675,
AB_0032/2024-04-30/1,PASS,pass,pass,pass,pass,pass,pass,194390171136,83289731594,83289731594,
AB_0032/2024-05-02/1,PASS,pass,pass,pass,pass,pass,pass,210604592640,86255371309,86255371309,
AB_0032/2024-06-21/1,PASS,pass,pass,pass,pass,pass,pass,180702647808,77986009498,77986009498,
AB_0032/2024-06-27/1,PASS,pass,pass,pass,pass,pass,pass,193293473280,85011481838,85011481838,
AB_0032/2024-06-28/1,PASS,pass,pass,pass,pass,pass,pass,267169648128,115379509534,115379509534,
AB_0032/2024-07-08/1,PASS,pass,pass,pass,pass,pass,pass,151111423488,65705722562,65705722562,
AB_0032/2024-07-19/1,PASS,pass,pass,pass,pass,pass,pass,148181411328,63600345054,63600345054,
AB_0032/2024-07-24/1,PASS,pass,pass,pass,pass,pass,pass,246396304896,108934842267,108934842267,
AB_0032/2024-07-29/1,PASS,pass,pass,pass,pass,pass,pass,206220332544,90634212367,90634212367,
AB_0032/2024-08-13/2,PASS,pass,pass,pass,pass,pass,pass,193300434432,80549036669,80549036669,
AB_0032/2024-08-14/1,PASS,pass,pass,pass,pass,pass,pass,226635492864,93748471303,93748471303,
AL_0014/2022-08-08/1,PASS,pass,pass,pass,pass,pass,pass,128783844864,56537226330,56537226330,
AL_0014/2022-08-09/2,PASS,pass,pass,pass,pass,pass,pass,138402258432,62623767180,62623767180,
AL_0014/2022-08-17/1,PASS,pass,pass,pass,pass,pass,pass,159801472512,60480065463,60480065463,
AL_0016/2022-10-04/1,PASS,pass,pass,pass,pass,pass,pass,143087113728,61821484753,61821484753,
AL_0023/2023-05-15/5,PASS,pass,pass,pass,pass,pass,pass,31639918080,13216733344,13216733344,
AL_0023/2023-07-10/1,PASS,pass,pass,pass,pass,pass,pass,128938888704,56284823321,56284823321,
AL_0023/2023-08-23/3,PASS,pass,pass,pass,pass,pass,pass,160343809536,68857642098,68857642098,
AL_0023/2023-08-24/1,PASS,pass,pass,pass,pass,pass,pass,160874755584,69923786543,69923786543,
AL_0023/2023-08-25/2,PASS,pass,pass,pass,pass,pass,pass,150930433536,64315974376,64315974376,
AL_0023/2023-08-30/1,PASS,pass,pass,pass,pass,pass,pass,217932787200,95222436473,95222436473,
