session,verdict,C1,C2,C3,C4,C5,C7,tar_bytes_now,wfz_bytes_now,b2_wfz_bytes,notes
AB_0003/2021-03-29/2,PASS,pass,pass,pass,pass,pass,pass,67900812800,32000470015,32000470015,
AB_0003/2021-04-19/1,REFUSE,pass,pass,pass,fail,pass,pass,-1,65149088729,65149088729,C4: the tar is already gone
AB_0004/2021-03-24/1,PASS,pass,pass,pass,pass,pass,pass,24430592512,11257699692,11257699692,
AB_0004/2021-03-29/2,PASS,pass,pass,pass,pass,pass,pass,66685821440,30989982072,30989982072,
AB_0004/2021-03-30/1,REFUSE,pass,pass,pass,fail,pass,pass,-1,85185484475,85185484475,C4: the tar is already gone
AB_0005/2021-03-29/2,PASS,pass,pass,pass,pass,pass,pass,64896422400,29767384149,29767384149,
AB_0005/2021-03-30/1,REFUSE,pass,pass,pass,fail,pass,pass,-1,77263434270,77263434270,C4: the tar is already gone
AB_0026/2024-03-12/1,PASS,pass,pass,pass,pass,pass,pass,129452748288,56659468530,56659468530,
AB_0026/2024-03-13/1,PASS,pass,pass,pass,pass,pass,pass,192130960896,83683699319,83683699319,
AB_0032/2024-03-12/1,PASS,pass,pass,pass,pass,pass,pass,129452748288,56659468529,56659468529,
AB_0032/2024-03-13/1,PASS,pass,pass,pass,pass,pass,pass,192130960896,83683699319,83683699319,
AB_0032/2024-03-14/1,PASS,pass,pass,pass,pass,pass,pass,185266632192,80405867355,80405867355,
AB_0032/2024-04-15/1,PASS,pass,pass,pass,pass,pass,pass,183547860480,72994129787,72994129787,
AB_0032/2024-04-16/1,PASS,pass,pass,pass,pass,pass,pass,344282758656,145981130097,145981130097,
AB_0032/2024-04-25/1,PASS,pass,pass,pass,pass,pass,pass,184153480704,77410504675,77410504675,
AB_0032/2024-04-30/1,PASS,pass,pass,pass,pass,pass,pass,194390171136,83289731594,83289731594,
AB_0032/2024-05-02/1,PASS,pass,pass,pass,pass,pass,pass,210604592640,86255371309,86255371309,
AB_0032/2024-05-09/1,PASS,pass,pass,pass,pass,pass,pass,115275412992,48457066000,48457066000,
