server,path,bytes,band,subject,date,session,has_cbin,cbin_bytes,has_ch,has_meta,n_channels,sample_rate_hz,implied_seconds,error
Y,\\sahale.biostr.washington.edu\data\Subjects\Sawtell\060623_file001_g1\060623_file001_g1_t0.imec0.ap.bin,25776905770,ap,Sawtell,,,False,0,False,True,385,30000.0,1115.8833666666667,
Y,\\sahale.biostr.washington.edu\data\Subjects\Sawtell\060623_file001_g1\060623_file001_g1_t0.imec0.lf.bin,2148075930,lf,Sawtell,,,False,0,False,True,385,2500.0,1115.8836,
Y,\\sahale.biostr.washington.edu\data\Subjects\Sawtell\060623_file001_g1\060623_file001_g1_t0.nidq.bin,603719928,nidq,Sawtell,,,False,0,False,True,9,30000.0,1117.9998666666668,
Y,\\sahale.biostr.washington.edu\data\Subjects\Sawtell\060623_file001_g9\060623_file001_g9_t0.imec0.ap.bin,22206363410,ap,Sawtell,,,False,0,False,True,385,30000.0,961.3144333333333,
Y,\\sahale.biostr.washington.edu\data\Subjects\Sawtell\060623_file001_g9\060623_file001_g9_t0.imec0.lf.bin,1850530990,lf,Sawtell,,,False,0,False,True,385,2500.0,961.3148,
Y,\\sahale.biostr.washington.edu\data\Subjects\Sawtell\060623_file001_g9\060623_file001_g9_t0.nidq.bin,522872136,nidq,Sawtell,,,False,0,False,True,9,30000.0,968.2817333333334,
Y,\\sahale.biostr.washington.edu\data\Subjects\Sawtell\2022-06-27\062722_6_g0_t0.imec0.ap.bin,18030874400,ap,Sawtell,2022-06-27,062722_6_g0_t0.imec0.ap.bin,False,0,False,True,385,30000.0,780.5573333333333,
Y,\\sahale.biostr.washington.edu\data\Subjects\MonkeyUltra_01\a220301_CSDflashNPX_g1\a220301_CSDflashNPX_g1_t1.nidq.bin,77232694,nidq,MonkeyUltra_01,,,False,0,False,True,7,25000.0,220.66484,
Y,\\sahale.biostr.washington.edu\data\Subjects\MonkeyUltra_01\a220301_CSDflashNPX_g1\a220301_CSDflashNPX_g1_t2.nidq.bin,98116172,nidq,MonkeyUltra_01,,,False,0,False,True,7,25000.0,280.33192,
Y,\\sahale.biostr.washington.edu\data\Subjects\MonkeyUltra_01\a220302_Ultradense_g1\a220302_Ultradense_g1_t0.nidq.bin,2695678132,nidq,MonkeyUltra_01,,,False,0,False,True,7,25000.0,7701.93752,
Y,\\sahale.biostr.washington.edu\data\Subjects\lightFlipperTest\p0_g0\p0_g0_imec0\p0_g0_t0.imec0.ap.bin,953969940,ap,lightFlipperTest,,,False,0,False,True,385,30000.0,41.2974,
Y,\\sahale.biostr.washington.edu\data\Subjects\Laurent\GL1300\GL1300_test202315_openfield1_g0\GL1300_test202315_morning_g0_t0.imec0.ap.bin,19953105480,ap,Laurent,,,False,0,False,True,385,30000.138083945476,863.7668242556311,
