path,bytes,kind,headerless,shape,blocked,has_svd
Y:\Subjects\ZYE_0057\2022-01-10\1\widefield.tar,66537856512,basler-tiff,False,,False,True
Y:\Subjects\ZYE_0057\2022-01-28\1\widefield.tar,238267123200,basler-tiff,False,,False,True
Y:\Subjects\ZYE_0057\2022-01-29\1\widefield.tar,192777296896,basler-tiff,False,,False,True
Y:\Subjects\ZYE_0057\2022-01-30\1\widefield.tar,201648759808,basler-tiff,False,,False,True
Y:\Subjects\ZYE_0012\2020-10-14\1\widefield.tar,30081493504,basler-tiff,False,,False,True
Y:\Subjects\ZYE_0012\2020-10-16\1\widefield.tar,72661249536,basler-tiff,False,,False,True
Y:\Subjects\ZYE_0012\2020-10-16\5\widefield.tar,89568952832,basler-tiff,False,,False,True
Y:\Subjects\ZYE_0012\2020-12-03\1\widefield.tar,280892239360,basler-tiff,False,,False,True
Y:\Subjects\ZYE_0012\2020-12-17\1\widefield.tar,105345840640,basler-tiff,False,,False,True
Y:\Subjects\AB_0004\2021-03-24\1\widefield.tar,24430592512,basler-tiff,False,,False,True
Y:\Subjects\AB_0004\2021-03-29\2\widefield.tar,66685821440,basler-tiff,False,,False,True
Y:\Subjects\AB_0004\2021-03-30\1\widefield.tar,182436115968,basler-tiff,False,,False,True
Y:\Subjects\AL_0034\2024-07-25\1\widefield.tar,185006538240,basler-tiff,False,,False,True
Y:\Subjects\AL_0034\2024-07-29\1\widefield.tar,95219701248,basler-tiff,False,,False,True
Y:\Subjects\AL_0034\2024-08-12\1\widefield.tar,151596172800,basler-tiff,False,,False,True
Y:\Subjects\AL_0034\2024-08-12\5\widefield.tar,1024,EMPTY,False,,False,False
Y:\Subjects\AL_0034\2024-08-13\1\widefield.tar,200368535040,basler-tiff,False,,False,True
Y:\Subjects\AL_0034\2024-08-19\1\widefield.tar,137334038016,basler-tiff,False,,False,True
Y:\Subjects\AL_0034\2024-08-20\1\widefield.tar,175636827648,basler-tiff,False,,False,True
Y:\Subjects\AL_0034\2024-08-26\1\widefield.tar,109105300992,basler-tiff,False,,False,True
Y:\Subjects\AL_0034\2024-08-27\1\widefield.tar,197432194560,basler-tiff,False,,False,True
Y:\Subjects\AL_0034\2024-08-29\1\widefield.tar,112905457152,basler-tiff,False,,False,True
Y:\Subjects\AL_0034\2024-08-30\1\widefield.tar,90580409856,basler-tiff,False,,False,True
Y:\Subjects\AL_0034\2024-09-02\1\widefield.tar,113997725184,basler-tiff,False,,False,True
Y:\Subjects\AL_0034\2024-09-03\1\widefield.tar,195762150912,basler-tiff,False,,False,True
Y:\Subjects\AL_0034\2024-09-19\2\widefield.tar,177902366208,basler-tiff,False,,False,True
Y:\Subjects\AL_0034\2024-10-16\1\widefield.tar,49169782272,basler-tiff,False,,False,True
Y:\Subjects\AL_0034\2024-11-17\1\widefield.tar,132251131392,basler-tiff,False,,False,True
Y:\Subjects\AL_0034\2024-11-18\10\widefield.tar,23680574976,basler-tiff,False,,False,True
Y:\Subjects\AL_0034\2024-11-18\7\widefield.tar,43789444608,basler-tiff,False,,False,True
Y:\Subjects\AL_0034\2024-11-19\3\widefield.tar,23130643968,basler-tiff,False,,False,True
Y:\Subjects\AL_0034\2024-11-19\5\widefield.tar,22074447360,basler-tiff,False,,False,True
Y:\Subjects\ZYE_0081\2024-04-29\2\widefield.tar,27852836352,basler-tiff,False,,False,True
Y:\Subjects\AL_0015\2022-08-22\1\widefield.tar,87434601984,basler-tiff,False,,False,True
Y:\Subjects\AL_0015\2022-09-22\1\widefield.tar,24443137536,basler-tiff,False,,False,True
Y:\Subjects\ZYE_0092\2025-06-02\1\widefield.tar,60521522688,basler-tiff,False,,False,True
Y:\Subjects\ZYE_0092\2025-06-09\3\widefield.tar,116866985472,basler-tiff,False,,False,True
Y:\Subjects\ZYE_0092\2025-06-14\1\widefield.tar,145947514368,basler-tiff,False,,False,True
Y:\Subjects\ZYE_0092\2025-06-14\3\widefield.tar,135119758848,basler-tiff,False,,False,True
Y:\Subjects\ZYE_0092\2025-06-15\1\widefield.tar,116401853952,basler-tiff,False,,False,True
Y:\Subjects\ZYE_0092\2025-06-15\3\widefield.tar,113855970816,basler-tiff,False,,False,True
Y:\Subjects\ZYE_0092\2025-06-19\2\widefield.tar,108526892544,basler-tiff,False,,False,True
Y:\Subjects\ZYE_0092\2025-06-21\1\widefield.tar,95612057088,basler-tiff,False,,False,True
Y:\Subjects\ZYE_0092\2025-06-21\2\widefield.tar,100675345920,basler-tiff,False,,False,True
Y:\Subjects\ZYE_0092\2025-06-22\1\widefield.tar,116060124672,basler-tiff,False,,False,True
Y:\Subjects\ZYE_0092\2025-06-23\2\widefield.tar,95407019520,basler-tiff,False,,False,True
Y:\Subjects\ZYE_0092\2025-06-24\1\widefield.tar,101039224320,basler-tiff,False,,False,True
Y:\Subjects\ZYE_0092\2025-07-09\2\widefield.tar,108724336128,basler-tiff,False,,False,True
Y:\Subjects\AL_0050\2026-05-06\1\widefield.tar,12656008704,basler-tiff,False,,False,True
Y:\Subjects\AL_0050\2026-06-25\1\widefield.tar,25372134912,basler-tiff,False,,False,True
Y:\Subjects\AL_0050\2026-07-29\1\widefield.tar,28355008000,frame-N,True,560x560,False,True
Y:\Subjects\AL_0050\2026-07-29\2\widefield.tar,25837882880,frame-N,True,560x560,False,True
Y:\Subjects\AL_0050\2026-07-29\3\widefield.tar,53133939200,frame-N,True,560x560,False,True
Y:\Subjects\AL_0027\2023-10-24\1\widefield.tar,63553420800,basler-tiff,False,,False,True
Y:\Subjects\AL_0027\2023-12-07\1\widefield.tar,138092803584,basler-tiff,False,,False,True
Y:\Subjects\ZYE_0076\2024-04-28\1\widefield.tar,17291503104,basler-tiff,False,,False,True
Y:\Subjects\ZYE_0076\2024-05-04\2\widefield.tar,27889540608,basler-tiff,False,,False,True
Y:\Subjects\ZYE_0076\2024-05-17\1\widefield.tar,121715111424,basler-tiff,False,,False,True
Y:\Subjects\ZYE_0076\2024-05-20\1\widefield.tar,122362498560,basler-tiff,False,,False,True
Y:\Subjects\ZYE_0076\2024-05-30\5\widefield.tar,32979408384,basler-tiff,False,,False,True
Y:\Subjects\ZYE_0098\2025-07-07\1\widefield.tar,28848913920,basler-tiff,False,,False,True
Y:\Subjects\ZYE_0098\2025-07-08\1\widefield.tar,107885200896,basler-tiff,False,,False,True
Y:\Subjects\ZYE_0098\2025-07-09\1\widefield.tar,108638903808,basler-tiff,False,,False,True
Y:\Subjects\ZYE_0098\2025-07-15\1\widefield.tar,103566755328,basler-tiff,False,,False,True
Y:\Subjects\ZYE_0098\2025-07-16\1\widefield.tar,137711205888,basler-tiff,False,,False,True
