path,bytes,rows,cols,coherence,runner_up,margin
Y:\Subjects\AL_0033\2025-01-17\1\widefield.tar,294340435456,560,560,0.9913,"(280, 1120)",0.0091
Y:\Subjects\AL_0033\2025-01-16\3\widefield.tar,233675836928,560,560,0.9905,"(280, 1120)",0.0066
Y:\Subjects\AL_0033\2025-01-18\1\widefield.tar,203782308352,560,560,0.9587,"(280, 1120)",0.0092
Y:\Subjects\AL_0033\2025-01-20\2\widefield.tar,154354382336,560,560,0.9492,"(280, 1120)",0.0065
Y:\Subjects\AL_0033\2024-12-20\7\widefield.tar,151196990464,560,560,0.9921,"(280, 1120)",0.0081
Y:\Subjects\AL_0033\2024-12-23\1\widefield.tar,145081192448,560,560,0.9911,"(280, 1120)",0.0076
Y:\Subjects\AL_0033\2025-01-09\1\widefield.tar,106676516864,560,560,0.9908,"(280, 1120)",0.006
Y:\Subjects\AL_0033\2025-01-20\3\widefield.tar,101511075328,560,560,0.9514,"(280, 1120)",0.0064
Y:\Subjects\AL_0036\2025-01-15\1\widefield.tar,94567325184,560,560,0.9895,"(280, 1120)",0.008
Y:\Subjects\AL_0033\2025-01-10\2\widefield.tar,84544647168,560,560,0.9912,"(280, 1120)",0.0051
Y:\Subjects\AL_0041\2025-11-05\1\1.tar,30766049792,560,560,0.9796,"(280, 1120)",0.0176
Y:\Subjects\AL_0033\2025-01-09\2\widefield.tar,23449961984,560,560,0.9912,"(280, 1120)",0.0051
Y:\Subjects\AL_0033\2025-02-24\3\3.tar,17471109632,560,560,0.3663,"(280, 1120)",0.0022
Y:\Subjects\test\2025-12-03\1.tar,17021040128,560,560,0.2924,"(280, 1120)",0.0014
Y:\Subjects\test\2025-11-05\1\1.tar,10444501504,560,560,0.9818,"(280, 1120)",0.0167
Y:\Subjects\test\2025-11-04\1.tar,5484321280,560,560,0.0158,"(280, 1120)",0.0053
Y:\Subjects\default\2025-03-05\3\widefield.tar,5194318336,560,560,0.3555,"(280, 1120)",0.0011
Y:\Subjects\AL_0041\2025-11-05\2\2.tar,1714283008,560,560,0.9806,"(280, 1120)",0.0181
