path,bytes,uniform,n_members,break_at_member,first_other,error
\\sahale.biostr.washington.edu\data\Subjects\ZYE_0057\2022-01-10\1\widefield.tar,66537856512,True,105143,,,
\\sahale.biostr.washington.edu\data\Subjects\ZYE_0057\2022-01-28\1\widefield.tar,238267123200,True,328416,,,
\\sahale.biostr.washington.edu\data\Subjects\ZYE_0057\2022-01-29\1\widefield.tar,192777296896,True,265715,,,
\\sahale.biostr.washington.edu\data\Subjects\ZYE_0057\2022-01-30\1\widefield.tar,201648759808,True,277943,,,
\\sahale.biostr.washington.edu\data\Subjects\ZYE_0012\2020-10-14\1\widefield.tar,30081493504,True,56821,,,
\\sahale.biostr.washington.edu\data\Subjects\ZYE_0012\2020-10-16\1\widefield.tar,72661249536,True,137250,,,
\\sahale.biostr.washington.edu\data\Subjects\ZYE_0012\2020-10-16\5\widefield.tar,89568952832,True,169187,,,
\\sahale.biostr.washington.edu\data\Subjects\ZYE_0012\2020-12-03\1\widefield.tar,280892239360,True,530578,,,
\\sahale.biostr.washington.edu\data\Subjects\ZYE_0012\2020-12-17\1\widefield.tar,105345840640,True,198988,,,
\\sahale.biostr.washington.edu\data\Subjects\AB_0004\2021-03-24\1\widefield.tar,24430592512,True,46147,,,
\\sahale.biostr.washington.edu\data\Subjects\AB_0004\2021-03-29\2\widefield.tar,66685821440,True,125963,,,
\\sahale.biostr.washington.edu\data\Subjects\AB_0004\2021-03-30\1\widefield.tar,182436115968,True,344604,,,
\\sahale.biostr.washington.edu\data\Subjects\AL_0034\2024-07-25\1\widefield.tar,185006538240,True,292347,,,
\\sahale.biostr.washington.edu\data\Subjects\AL_0034\2024-07-29\1\widefield.tar,95219701248,True,150466,,,
\\sahale.biostr.washington.edu\data\Subjects\AL_0034\2024-08-12\1\widefield.tar,151596172800,True,239552,,,
\\sahale.biostr.washington.edu\data\Subjects\AL_0034\2024-08-13\1\widefield.tar,200368535040,True,316622,,,
\\sahale.biostr.washington.edu\data\Subjects\AL_0034\2024-08-19\1\widefield.tar,137334038016,True,217015,,,
\\sahale.biostr.washington.edu\data\Subjects\AL_0034\2024-08-20\1\widefield.tar,175636827648,True,277541,,,
\\sahale.biostr.washington.edu\data\Subjects\AL_0034\2024-08-26\1\widefield.tar,109105300992,True,172408,,,
\\sahale.biostr.washington.edu\data\Subjects\AL_0034\2024-08-27\1\widefield.tar,197432194560,True,311982,,,
\\sahale.biostr.washington.edu\data\Subjects\AL_0034\2024-08-29\1\widefield.tar,112905457152,True,178413,,,
\\sahale.biostr.washington.edu\data\Subjects\AL_0034\2024-08-30\1\widefield.tar,90580409856,True,143135,,,
\\sahale.biostr.washington.edu\data\Subjects\AL_0034\2024-09-02\1\widefield.tar,113997725184,True,180139,,,
\\sahale.biostr.washington.edu\data\Subjects\AL_0034\2024-09-03\1\widefield.tar,195762150912,True,309343,,,
\\sahale.biostr.washington.edu\data\Subjects\AL_0034\2024-09-19\2\widefield.tar,177902366208,True,281121,,,
\\sahale.biostr.washington.edu\data\Subjects\AL_0034\2024-10-16\1\widefield.tar,49169782272,True,77698,,,
\\sahale.biostr.washington.edu\data\Subjects\AL_0034\2024-11-17\1\widefield.tar,132251131392,True,208983,,,
\\sahale.biostr.washington.edu\data\Subjects\AL_0034\2024-11-18\10\widefield.tar,23680574976,True,37420,,,
\\sahale.biostr.washington.edu\data\Subjects\AL_0034\2024-11-18\7\widefield.tar,43789444608,True,69196,,,
\\sahale.biostr.washington.edu\data\Subjects\AL_0034\2024-11-19\3\widefield.tar,23130643968,True,36551,,,
