path,bytes,uniform,n_members,break_at_member,first_other,error
\\sahale.biostr.washington.edu\data\Subjects\ZYE_0098\2025-12-17\2\widefield.tar,143120932864,False,226159,147816,"2/p0_g0/ (0 B) | 2/p0_g0/p0_g0_t0.imec0/ (0 B) | 2/p0_g0/p0_g0_t0.imec0/p0_g0_t0.imec0.ap.bin (49,578,215,610 B) | 2/p0_g0/p0_g0_t0.imec0/p0_g0_t0.imec0.ap.meta (18,300 B) | <not a tar header>",
\\sahale.biostr.washington.edu\data\Subjects\ZYE_0098\2025-12-18\1\widefield.tar,155986506240,False,246489,159693,"1/p0.missed_samples.imec0.txt (3,920 B) | 1/p0_g0/ (0 B) | 1/p0_g0/p0_g0_t0.imec0/ (0 B) | 1/p0_g0/p0_g0_t0.imec0/p0_g0_t0.imec0.ap.bin (54,927,638,920 B) | 1/p0_g0/p0_g0_t0.imec0/p0_g0_t0.imec0.ap.meta (18,275 B)",
\\sahale.biostr.washington.edu\data\Subjects\AL_0039\2025-09-30\6\widefield.tar,28774017024,False,45468,29159,"6/p0.missed_samples.imec0.txt (2,467 B) | 6/p0_g0/ (0 B) | 6/p0_g0/p0_g0_t0.imec0/ (0 B) | 6/p0_g0/p0_g0_t0.imec0/p0_g0_t0.imec0.ap.bin (10,321,243,240 B) | 6/p0_g0/p0_g0_t0.imec0/p0_g0_t0.imec0.ap.meta (18,301 B)",
\\sahale.biostr.washington.edu\data\Subjects\AL_0023\2023-10-27\1\widefield.tar,136181646336,False,215193,138856,"1/p0_g0/ (0 B) | 1/p0_g0/p0_g0_imec0/ (0 B) | 1/p0_g0/p0_g0_imec0/p0_g0_t0.imec0.ap.bin (48,309,106,230 B) | 1/p0_g0/p0_g0_imec0/p0_g0_t0.imec0.ap.meta (15,634 B) | <not a tar header>",
\\sahale.biostr.washington.edu\data\Subjects\AL_0023\2023-10-27\4\widefield.tar,55812857856,False,88195,56406,"4/p0_g0/ (0 B) | 4/p0_g0/p0_g0_imec0/ (0 B) | 4/p0_g0/p0_g0_imec0/p0_g0_t0.imec0.ap.bin (20,117,316,450 B) | 4/p0_g0/p0_g0_imec0/p0_g0_t0.imec0.ap.meta (15,633 B) | <not a tar header>",
\\sahale.biostr.washington.edu\data\Subjects\FD_004\2025-10-22\1\widefield.tar,134552770048,False,212620,136604,"1/p0_g0/ (0 B) | 1/p0_g0/p0_g0_imec0/ (0 B) | 1/p0_g0/p0_g0_imec0/p0_g0_t0.imec0.ap.bin (48,105,365,000 B) | 1/p0_g0/p0_g0_imec0/p0_g0_t0.imec0.ap.meta (18,310 B) | <not a tar header>",
\\sahale.biostr.washington.edu\data\Subjects\FD_004\2025-11-14\4\widefield.tar,177977549824,False,281239,182446,"4/p0_g0/ (0 B) | 4/p0_g0/p0_g0_imec0/ (0 B) | 4/p0_g0/p0_g0_imec0/p0_g0_t0.imec0.ap.bin (62,519,860,480 B) | 4/p0_g0/p0_g0_imec0/p0_g0_t0.imec0.ap.meta (18,300 B) | <not a tar header>",
\\sahale.biostr.washington.edu\data\Subjects\FD_004\2025-11-17\1\widefield.tar,186255128064,False,294320,191233,"1/p0_g0/ (0 B) | 1/p0_g0/p0_g0_imec0/ (0 B) | 1/p0_g0/p0_g0_imec0/p0_g0_t0.imec0.ap.bin (65,236,743,880 B) | 1/p0_g0/p0_g0_imec0/p0_g0_t0.imec0.ap.meta (18,311 B) | <not a tar header>",
\\sahale.biostr.washington.edu\data\Subjects\AL_0030\2024-01-23\1\widefield.tar,136961096192,False,216425,107281,"1/p0_g0/ (0 B) | 1/p0_g0/p0_g0_imec0/ (0 B) | 1/p0_g0/p0_g0_imec0/p0_g0_t0.imec0.ap.bin (54,254,373,250 B) | 1/p0_g0/p0_g0_imec0/p0_g0_t0.imec0.ap.meta (17,186 B) | 1/p1_g0/ (0 B)",
\\sahale.biostr.washington.edu\data\Subjects\AL_0038\2025-05-02\1\widefield.tar,232521255424,False,367429,237616,"1/p0_g0/ (0 B) | 1/p0_g0/p0_g0_imec0/ (0 B) | 1/p0_g0/p0_g0_imec0/p0_g0_t0.imec0.ap.bin (82,150,227,390 B) | 1/p0_g0/p0_g0_imec0/p0_g0_t0.imec0.ap.meta (15,639 B) | <not a tar header>",
