path,tar_bytes,ephys_in_tar_bytes,ephys_in_tar_name,raw_ephys_outside,raw_ephys_outside_bytes,raw_ephys_outside_paths,stem_found_outside,sorting_outside,sorting_paths,session_dirs,error
\\sahale.biostr.washington.edu\data\Subjects\ZYE_0098\2025-12-17\2\widefield.tar,143120932864,49578215610,p0_g0_t0.imec0.ap.bin,True,49578215610,"2\p0_g0_t0.imec0\p0_g0_t0.imec0.ap.bin (49,578,215,610 B)",True,True,2\p0_g0_t0.imec0\amplitudes.npy | 2\p0_g0_t0.imec0\params.py,1 | 2 | 2\blue | 2\corr | 2\ks_p0_g0_t0.imec0 | 2\p0_g0_t0.imec0 | 2\violet | 3 | 4,
\\sahale.biostr.washington.edu\data\Subjects\ZYE_0098\2025-12-18\1\widefield.tar,155986506240,54927638920,p0_g0_t0.imec0.ap.bin,True,54927638920,"1\p0_g0_t0.imec0\p0_g0_t0.imec0.ap.bin (54,927,638,920 B)",True,True,1\p0_g0_t0.imec0\amplitudes.npy | 1\p0_g0_t0.imec0\params.py,1 | 1\blue | 1\corr | 1\ks_p0_g0_t0.imec0 | 1\p0_g0_t0.imec0 | 1\violet | 2 | 3,
\\sahale.biostr.washington.edu\data\Subjects\AL_0039\2025-09-30\6\widefield.tar,28774017024,10321243240,p0_g0_t0.imec0.ap.bin,True,27268577490,"1\p0_g0_t0.imec0\p0_g0_t0.imec0.ap.bin (16,947,334,250 B) | 6\p0_g0_t0.imec0\p0_g0_t0.imec0.ap.bin (10,321,243,240 B)",True,False,,1 | 2 | 3 | 4 | 5 | 6 | 6\blue | 6\corr | 6\p0_g0_t0.imec0 | 6\violet | 7 | optoGalvoCalib,
\\sahale.biostr.washington.edu\data\Subjects\AL_0023\2023-10-27\1\widefield.tar,136181646336,48309106230,p0_g0_t0.imec0.ap.bin,True,68426422680,"1\p0_g0_t0.imec0\p0_g0_t0.imec0.ap.bin (48,309,106,230 B) | 4\p0_g0_t0.imec0\p0_g0_t0.imec0.ap.bin (20,117,316,450 B)",True,False,,1 | 1\blue | 1\corr | 1\p0_g0_t0.imec0 | 1\violet | 2 | 3 | 4 | 5,
\\sahale.biostr.washington.edu\data\Subjects\AL_0023\2023-10-27\4\widefield.tar,55812857856,20117316450,p0_g0_t0.imec0.ap.bin,True,68426422680,"1\p0_g0_t0.imec0\p0_g0_t0.imec0.ap.bin (48,309,106,230 B) | 4\p0_g0_t0.imec0\p0_g0_t0.imec0.ap.bin (20,117,316,450 B)",True,False,,1 | 2 | 3 | 4 | 4\blue | 4\corr | 4\p0_g0_t0.imec0 | 4\violet | 5,
\\sahale.biostr.washington.edu\data\Subjects\FD_004\2025-10-22\1\widefield.tar,134552770048,48105365000,p0_g0_t0.imec0.ap.bin,True,48105365000,"1\p0_g0\p0_g0_t0.imec0.ap.bin (48,105,365,000 B)",True,True,1\p0_g0\kilosort4\amplitudes.npy | 1\p0_g0\kilosort4\params.py | 1\p0_g0\ks4_rerun\amplitudes.npy | 1\p0_g0\ks4_rerun\params.py,1 | 1\blue | 1\corr | 1\p0_g0 | 1\violet | 2 | 3 | 4,
\\sahale.biostr.washington.edu\data\Subjects\FD_004\2025-11-14\4\widefield.tar,177977549824,62519860480,p0_g0_t0.imec0.ap.bin,True,62519860480,"4\p0_g0_imec0\p0_g0_t0.imec0.ap.bin (62,519,860,480 B)",True,True,4\p0_g0_imec0\kilosort4\amplitudes.npy | 4\p0_g0_imec0\kilosort4\params.py,1 | 2 | 3 | 4 | 4\blue | 4\corr | 4\p0_g0_imec0 | 4\violet | 5 | 6 | 7,
\\sahale.biostr.washington.edu\data\Subjects\FD_004\2025-11-17\1\widefield.tar,186255128064,65236743880,p0_g0_t0.imec0.ap.bin,True,65236743880,"1\p0_g0_imec0\p0_g0_t0.imec0.ap.bin (65,236,743,880 B)",True,True,1\p0_g0_imec0\kilosort4\amplitudes.npy | 1\p0_g0_imec0\kilosort4\params.py,1 | 1\blue | 1\corr | 1\p0_g0_imec0 | 1\violet | 2 | 3 | 4,
\\sahale.biostr.washington.edu\data\Subjects\AL_0030\2024-01-23\1\widefield.tar,136961096192,54254373250,p0_g0_t0.imec0.ap.bin,True,69070205820,"1\p0_g0_t0.imec0\p0_g0_t0.imec0.ap.bin (54,254,373,250 B) | 4\p1_g0\p1_g0_imec0\p1_g0_t0.imec0.ap.bin (14,815,832,570 B)",True,False,,1 | 1\blue | 1\corr | 1\p0_g0_t0.imec0 | 1\violet | 2 | 3 | 4,
\\sahale.biostr.washington.edu\data\Subjects\AL_0038\2025-05-02\1\widefield.tar,232521255424,82150227390,p0_g0_t0.imec0.ap.bin,True,82150227390,"1\p0_g0\p0_g0_imec0\p0_g0_t0.imec0.ap.bin (82,150,227,390 B)",True,False,,1 | 1\blue | 1\corr | 1\p0_g0 | 1\violet | 2 | 3,
