path,bytes,kind,has_svd,svd_bytes
Y:\Subjects\AL_0034\2024-08-12\5\widefield.tar,1024,EMPTY,False,0
Y:\Subjects\AL_0033\2024-06-21\1\widefield.tar,56184723968,basler-tiff,False,0
Y:\Subjects\AL_0033\2024-12-20\1\widefield.tar,158142819840,basler-tiff,False,0
Y:\Subjects\AL_0033\2024-12-20\7\widefield.tar,151196990464,other,False,0
Y:\Subjects\AL_0033\2024-12-23\1\widefield.tar,145081192448,other,False,0
Y:\Subjects\AL_0033\2025-01-09\1\widefield.tar,106676516864,other,False,0
Y:\Subjects\AL_0033\2025-01-09\2\widefield.tar,23449961984,other,False,0
Y:\Subjects\AL_0033\2025-01-10\2\widefield.tar,84544647168,other,False,0
Y:\Subjects\AL_0033\2025-01-16\3\widefield.tar,233675836928,frame-N,False,0
Y:\Subjects\AL_0033\2025-01-17\1\widefield.tar,294340435456,frame-N,False,0
Y:\Subjects\AL_0033\2025-01-18\1\widefield.tar,203782308352,frame-N,False,0
Y:\Subjects\AL_0033\2025-01-20\2\widefield.tar,154354382336,frame-N,False,0
Y:\Subjects\AL_0033\2025-01-20\3\widefield.tar,101511075328,frame-N,False,0
Y:\Subjects\AL_0033\2025-02-24\3\3.tar,17471109632,frame-N,False,0
Y:\Subjects\AL_0033\2025-03-03\2\widefield.tar,290073876992,frame-N,False,0
Y:\Subjects\AL_0033\2025-03-28\3\widefield.tar,166012085760,basler-tiff,False,0
Y:\Subjects\ZYE_0078\2024-07-23\1\widefield.tar,164403426816,basler-tiff,False,0
Y:\Subjects\ZYE_0085\2024-07-14\4\widefield.tar,62046014976,basler-tiff,False,0
Y:\Subjects\AB_0032\2024-04-05\1\widefield.tar,12751827968,basler-tiff,False,0
Y:\Subjects\AB_0032\2024-04-16\1\widefield.tar,344282758656,basler-tiff,False,0
Y:\Subjects\AB_0032\2024-04-30\1\widefield.tar,194390171136,basler-tiff,False,0
Y:\Subjects\AB_0032\2024-05-02\1\widefield.tar,210604592640,basler-tiff,False,0
Y:\Subjects\AB_0032\2024-06-12\1\widefield.tar,1024,EMPTY,False,0
Y:\Subjects\AB_0032\2024-08-12\5\widefield.tar,1536,EMPTY,False,0
Y:\Subjects\AL_0032\2024-04-09\1\widefield.tar,138663618048,basler-tiff,False,0
Y:\Subjects\AL_0032\2024-04-14\1\widefield.tar,160635545088,basler-tiff,False,0
Y:\Subjects\AL_0032\2024-04-19\2\widefield.tar,171086765568,basler-tiff,False,0
Y:\Subjects\AL_0032\2024-05-12\1\widefield.tar,143971180032,basler-tiff,False,0
Y:\Subjects\AL_0032\2024-05-15\1\widefield.tar,189282584064,basler-tiff,False,0
Y:\Subjects\AL_0032\2024-06-12\1\old_widefield.tar,4236177920,basler-tiff,False,0
Y:\Subjects\AL_0032\2024-06-12\1\widefield.tar,184983123456,basler-tiff,False,0
Y:\Subjects\AL_0035\2024-12-19\2\widefield.tar,131862572544,basler-tiff,False,0
Y:\Subjects\AL_0035\2025-04-25\1\widefield.tar,181512672768,basler-tiff,False,0
Y:\Subjects\AL_0035\2025-04-25\2\widefield.tar,181512672768,basler-tiff,False,0
Y:\Subjects\test\2025-11-04\1.tar,5484321280,frame-N,False,0
Y:\Subjects\test\2025-11-05\1\1.tar,10444501504,frame-N,False,0
Y:\Subjects\test\2025-12-03\1.tar,17021040128,frame-N,False,0
Y:\Subjects\ZYE_0089\2024-07-10\5\widefield.tar,1024,EMPTY,False,0
Y:\Subjects\AL_0041\2025-11-05\1\1.tar,30766049792,frame-N,False,0
Y:\Subjects\AL_0041\2025-11-05\2\2.tar,1714283008,frame-N,False,0
Y:\Subjects\AL_0041\2026-02-19\2\widefield.tar,146498078208,basler-tiff,False,0
Y:\Subjects\AL_0036\2025-01-15\1\widefield.tar,94567325184,frame-N,False,0
Y:\Subjects\default\2025-03-05\3\widefield.tar,5194318336,frame-N,False,0
Z:\Subjects_archive1\AD_0008\2019-10-23\102319- light at 0.14.tar,8500379136,basler-tiff,False,0
Z:\Subjects_archive1\AD_0008\2019-10-25\1\1.tar,21880236544,basler-tiff,False,0
Z:\Subjects_archive1\NS_0004\2019-09-16\1.tar,32742417408,basler-tiff,False,0
Z:\Subjects_archive1\Pv_0007\Histology\190917_488_hor_11-37-36.tar,15168886784,ome-tif,False,0
Z:\Subjects_archive1\Pv_0007\Histology\190917_647_hor_11-53-53.tar,15111903744,ome-tif,False,0
Z:\Subjects_archive1\Pv_0017\Histology\200226_pv17_2sheet_488_1x_13-26-43.tar,6679127040,ome-tif,False,0
Z:\Subjects_archive1\test\2021-07-17\1\widefield.tar,839113216,basler-tiff,False,0
Z:\Subjects_archive1\Vg_0035\Histology\VG_0035_20200619_cropped2\0.tar,6605404672,other-tiff,False,0
Z:\Subjects_archive1\Vg_0035\Histology\VG_0035_20200619_cropped2\1.tar,6605404672,other-tiff,False,0
Z:\Subjects_archive1\ZYE_0005\histology\08-25-20_ZYE0005\200825_2x_2ch_coronal_13-56-27.tar,24082712064,ome-tif,False,0
Z:\Subjects_archive1\ZYE_0005\histology\08-25-20_ZYE0005\200825_2x_2ch_coronal_noolfactory_14-48-46.tar,24137077248,other,False,0
