path,subject,date,exp,sorter_dir,size_bytes,n_files,newest_mtime_utc,oldest_mtime_utc,error,days_since_modified
Y:\Subjects\FD_011\2026-02-28\1\p0_g0_imec0\kilosort4\.phy,FD_011,2026-02-28,1,Y:\Subjects\FD_011\2026-02-28\1\p0_g0_imec0\kilosort4,2152072383,5801,2026-06-18T21:02:18+00:00,2026-03-09T14:08:18+00:00,,46
Y:\Subjects\FD_004\2025-10-22\1\p0_g0\ks4_rerun\.phy,FD_004,2025-10-22,1,Y:\Subjects\FD_004\2025-10-22\1\p0_g0\ks4_rerun,1654169837,6325,2026-05-13T23:04:48+00:00,2025-11-05T22:08:00+00:00,,82
Y:\Subjects\FD_004\2025-11-14\4\p0_g0_imec0\kilosort4\.phy,FD_004,2025-11-14,4,Y:\Subjects\FD_004\2025-11-14\4\p0_g0_imec0\kilosort4,1620476528,4587,2026-05-13T23:02:08+00:00,2025-11-18T02:31:36+00:00,,82
Y:\Subjects\ZYE_0017\2020-11-19\1\p1_g0\p1_g0_imec1\2\.phy,ZYE_0017,2020-11-19,1,Y:\Subjects\ZYE_0017\2020-11-19\1\p1_g0\p1_g0_imec1\2,1587561049,409,2021-01-26T23:43:19+00:00,2021-01-26T23:41:16+00:00,,2015
Y:\Subjects\JRS_0057\2026-06-04\1\kilosort4\whole_train_shank2_20m_40m_dredge_ks4\full_recording\shank_2\kilosort4\sorter_output\.phy,JRS_0057,2026-06-04,1,Y:\Subjects\JRS_0057\2026-06-04\1\kilosort4\whole_train_shank2_20m_40m_dredge_ks4\full_recording\shank_2\kilosort4\sorter_output,1288801959,2892,2026-07-22T19:37:20+00:00,2026-07-20T21:35:16+00:00,,12
Y:\Subjects\ZYE_0017\2020-11-19\1\p1_g0\p1_g0_imec1\1\.phy,ZYE_0017,2020-11-19,1,Y:\Subjects\ZYE_0017\2020-11-19\1\p1_g0\p1_g0_imec1\1,1228989629,496,2021-01-26T23:41:00+00:00,2021-01-26T23:36:45+00:00,,2015
Y:\Subjects\FD_004\2025-11-17\1\p0_g0_imec0\kilosort4\.phy,FD_004,2025-11-17,1,Y:\Subjects\FD_004\2025-11-17\1\p0_g0_imec0\kilosort4,1118425825,3160,2026-05-13T23:05:35+00:00,2026-01-12T18:25:34+00:00,,82
Y:\Subjects\JRS_0057\2026-06-04\1\kilosort4\whole_train_dredge_ks4_surface_masked\full_recording\shank_0\kilosort4\sorter_output\.phy,JRS_0057,2026-06-04,1,Y:\Subjects\JRS_0057\2026-06-04\1\kilosort4\whole_train_dredge_ks4_surface_masked\full_recording\shank_0\kilosort4\sorter_output,1070394045,1848,2026-07-29T22:42:15+00:00,2026-07-28T23:23:56+00:00,,5
Y:\Subjects\JRS_0057\2026-06-04\1\kilosort4\opto_cleaned_dredge_ks4_surface_masked\full_recording\shank_0\kilosort4\sorter_output\.phy,JRS_0057,2026-06-04,1,Y:\Subjects\JRS_0057\2026-06-04\1\kilosort4\opto_cleaned_dredge_ks4_surface_masked\full_recording\shank_0\kilosort4\sorter_output,1002666403,1438,2026-07-22T20:19:37+00:00,2026-07-15T16:26:20+00:00,,12
Y:\Subjects\SM_0010\2022-07-29\1\shank4\.phy,SM_0010,2022-07-29,1,Y:\Subjects\SM_0010\2022-07-29\1\shank4,972055989,4226,2026-03-24T23:20:56+00:00,2022-10-31T19:46:56+00:00,,132
Y:\Subjects\JRS_0001\2021-08-30\1\p0_g0\p0_g0_imec0\KS_shank0\.phy,JRS_0001,2021-08-30,1,Y:\Subjects\JRS_0001\2021-08-30\1\p0_g0\p0_g0_imec0\KS_shank0,598012009,6632,2026-05-13T23:31:50+00:00,2021-09-02T21:01:57+00:00,,82
Y:\Subjects\FD_011\2026-04-13\1\p0_g0_imec0\kilosort4\.phy,FD_011,2026-04-13,1,Y:\Subjects\FD_011\2026-04-13\1\p0_g0_imec0\kilosort4,595184457,2045,2026-05-11T15:48:06+00:00,2026-05-10T23:21:58+00:00,,85
Y:\Subjects\FD_011\2026-04-14\2\p0_g0_imec0\kilosort4\.phy,FD_011,2026-04-14,2,Y:\Subjects\FD_011\2026-04-14\2\p0_g0_imec0\kilosort4,579009497,1865,2026-05-10T23:15:29+00:00,2026-05-10T22:04:53+00:00,,85
Y:\Subjects\JRS_0057\2026-06-04\1\kilosort4\dredge_ks4_surface_masked\full_recording\shank_0\kilosort4_no_surface_channel_no_opto_art_remove\sorter_output\.phy,JRS_0057,2026-06-04,1,Y:\Subjects\JRS_0057\2026-06-04\1\kilosort4\dredge_ks4_surface_masked\full_recording\shank_0\kilosort4_no_surface_channel_no_opto_art_remove\sorter_output,568084453,1246,2026-07-10T19:18:53+00:00,2026-07-09T21:28:40+00:00,,24
Y:\Subjects\SM_0010\2022-07-29\1\shank1\.phy,SM_0010,2022-07-29,1,Y:\Subjects\SM_0010\2022-07-29\1\shank1,565285259,1843,2022-10-31T19:46:17+00:00,2022-08-01T19:48:53+00:00,,1372
Y:\Subjects\SM_0010\2022-07-29\1\shank3\.phy,SM_0010,2022-07-29,1,Y:\Subjects\SM_0010\2022-07-29\1\shank3,546586134,2481,2023-01-24T02:06:54+00:00,2023-01-24T01:19:59+00:00,,1288
Y:\Subjects\JRS_0004\2021-06-16\2\p1_g0\KS_postphy\KS_shank0\.phy,JRS_0004,2021-06-16,2,Y:\Subjects\JRS_0004\2021-06-16\2\p1_g0\KS_postphy\KS_shank0,506892361,5569,2026-03-24T22:40:06+00:00,2021-07-08T21:36:30+00:00,,132
Y:\Subjects\JRS_0057\2026-06-04\1\kilosort4\opto_cleaned_dredge_ks4_surface_masked\full_recording\shank_2\kilosort4\sorter_output\.phy,JRS_0057,2026-06-04,1,Y:\Subjects\JRS_0057\2026-06-04\1\kilosort4\opto_cleaned_dredge_ks4_surface_masked\full_recording\shank_2\kilosort4\sorter_output,492526524,1157,2026-07-22T20:03:31+00:00,2026-07-22T19:38:35+00:00,,12
Y:\Subjects\JRS_0057\2026-06-04\1\kilosort4\opto_cleaned_dredge_ks4_surface_masked\full_recording\shank_1\kilosort4\sorter_output\.phy,JRS_0057,2026-06-04,1,Y:\Subjects\JRS_0057\2026-06-04\1\kilosort4\opto_cleaned_dredge_ks4_surface_masked\full_recording\shank_1\kilosort4\sorter_output,481148836,821,2026-07-30T22:49:00+00:00,2026-07-15T16:37:26+00:00,,4
Y:\Subjects\JRS_0004\2021-06-16\2\p1_g0\KS_postphy\KS_shank2\.phy,JRS_0004,2021-06-16,2,Y:\Subjects\JRS_0004\2021-06-16\2\p1_g0\KS_postphy\KS_shank2,410659508,4261,2026-03-24T22:38:58+00:00,2021-06-29T19:48:37+00:00,,132
Y:\Subjects\FD_012\2026-04-23\1\p0_g0_imec0\kilosort4\.phy,FD_012,2026-04-23,1,Y:\Subjects\FD_012\2026-04-23\1\p0_g0_imec0\kilosort4,345880888,836,2026-05-01T20:37:09+00:00,2026-04-28T19:46:34+00:00,,94
Y:\Subjects\FD_013\2026-07-16\1\p0_g0_imec0\kilosort4\.phy,FD_013,2026-07-16,1,Y:\Subjects\FD_013\2026-07-16\1\p0_g0_imec0\kilosort4,335128369,800,2026-07-20T23:13:53+00:00,2026-07-17T22:01:35+00:00,,14
Y:\Subjects\JRS_0004\2021-06-16\2\p1_g0\KS_postphy\KS_shank1\.phy,JRS_0004,2021-06-16,2,Y:\Subjects\JRS_0004\2021-06-16\2\p1_g0\KS_postphy\KS_shank1,331828470,3690,2026-03-24T22:37:24+00:00,2021-07-16T18:04:10+00:00,,132
Y:\Subjects\JRS_0004\2021-06-16\2\p1_g0\KS_postphy\KS_shank3\.phy,JRS_0004,2021-06-16,2,Y:\Subjects\JRS_0004\2021-06-16\2\p1_g0\KS_postphy\KS_shank3,311485365,3855,2026-03-24T22:41:23+00:00,2021-07-20T21:36:28+00:00,,132
Y:\Subjects\FD_011\2026-04-06\1\p0_g0_imec0\kilosort4\.phy,FD_011,2026-04-06,1,Y:\Subjects\FD_011\2026-04-06\1\p0_g0_imec0\kilosort4,300533367,786,2026-05-11T20:51:30+00:00,2026-05-11T19:57:56+00:00,,84
